"Run1","Run2","Run3","Run4","Run5","Run6","Run7","Run8","Run9","Run10"
2.68235811628071,2.4205066531042,3.17130010872019,2.7184869663556,2.2399206046351,2.1244738797632,3.0534836857226,2.49172069985972,2.5030134612022,2.54208414835387
3.08722381276788,3.37768379416969,2.98040189490443,2.24875704922913,2.5519782209748,2.77002282083594,2.37045680774048,3.39613464865492,3.23675019432283,3.06439710414653
2.49969728813598,2.84423369763087,2.74018536767806,2.68410995480375,2.68800535600105,2.78658375446818,2.83804107534278,2.48813604463348,2.86088628380297,2.93759741250797
2.83017847409099,2.96119980968242,2.90335707326641,3.08522062380236,2.83069451170076,2.72463550844481,2.82094574554181,2.86535726983557,2.65299876422914,2.95724502977903
2.90698214606566,2.9814273828975,3.09610358269829,2.90616203383186,3.45974016549711,1.60523785360617,2.1502699459293,2.70381975416966,2.31213676330328,3.26518967646415
3.00859959909414,3.18536670869182,3.30228252525305,3.38368475080084,3.15218783503061,2.98919326605579,2.93535336009722,3.31583885057735,3.45559541783781,3.473464877961
2.81490972635296,2.80067076952616,2.9560123897241,2.6651002359432,2.84973729859352,2.46979507717506,3.05215268310452,2.78383801197942,2.69745032056987,2.75990769786942
2.85424166769763,2.68338818268391,3.1557798059225,3.40685772420726,2.63024953855217,2.97981414355091,3.49561599733559,3.06549689368993,2.83232671495296,2.7599608400298
3.13761095148388,2.90787409455768,2.91173224457332,3.09186812731064,2.88960035116185,2.93783448903186,3.2913931027999,3.00917777306206,2.88785901769494,2.76625016836454
3.06839354199379,3.25748014578183,3.53297168709659,3.07375226720522,3.25913490836379,3.29812843706135,3.24253313070692,2.86823601349646,3.37459662386104,3.69816077183518
2.05639876058778,2.3664331352018,1.84928681638311,2.21768724609885,2.74337013775916,2.41011890527743,2.66416496453407,2.7509931187566,2.40581301624219,2.25506571727025
2.87632189159919,2.45147853117428,3.51143708105576,2.51430642796874,2.65025797723654,2.73226475823534,2.78485704231024,2.90105925366328,3.06470146711224,3.69832798808975
2.83101379711597,2.89213103465787,2.58645458129654,2.70606231365584,3.12684585419761,2.83430618040219,2.60399398959203,2.63164465295932,2.92051512113743,2.51656772113156
2.7382907757346,2.30198988787091,2.552487164744,2.67758242187373,2.64128110951933,2.40381285947067,2.96552505294502,2.65013102223492,3.08116908286206,2.23012294719148
3.56517893396819,3.36321609287879,4.05775914449478,3.60750320129463,3.06641241172921,2.63915657244078,2.77969560553018,3.79378067051096,2.79153253738627,3.55974048326193
5.10772890056111,2.5844938057837,1.33575756752965,0.175825531434067,0.955253602222316,2.51068418756878,2.87530995088392,3.07578512348338,3.0373793437629,2.40413175314305
2.774480793142,3.63441675139118,2.42231400296449,3.07416212481333,3.19347514155339,3.36417118612532,3.32564705035371,2.61927635057987,2.83195463169283,2.63317436120463
2.82623944351579,2.59377754040284,2.90735901376345,2.96938802983997,2.64595718640308,2.68241222513978,3.01447899458783,2.87431441569837,2.57185844941913,2.62878722046695
3.35763070854112,2.74234750350127,2.9054736657849,2.38623694047955,2.58412706840906,2.60182918461288,2.6720495011213,3.23780951663256,2.73098784221983,2.57454919927242
2.35084362380756,2.48080337673013,2.73975169472435,3.14491066859741,2.53858194960631,2.58359531492612,3.16275196590636,2.75196702001151,2.80846815310173,2.11537929799054
2.96013709397918,2.96664992569734,2.63535123109256,2.84979381979902,2.69138786896474,2.74838636487489,2.98182575189481,3.16021204552662,2.74455317746584,2.62076153537625
2.91519705806362,2.2748649068974,2.46472425183149,2.31045388222473,2.29480831881531,3.02113056451835,2.46589011632858,2.49954117413521,2.72736889015432,2.49427379715984
2.37063938545418,2.85942100388604,2.80669506123586,2.25888798919253,2.63288604910505,2.85290707863267,3.1811695461686,2.7727510790564,2.95903142787326,2.64502966427937
2.99628785851125,2.82687432734295,2.8041182244212,3.37043382701662,3.03146405374941,2.701648503076,3.28692079691906,3.33621785339005,2.93532030594774,3.24391088557144
2.61536857498756,2.77197893390507,2.58316079687158,2.21789542782874,2.3697897594459,2.83300253731695,2.59278974024199,3.09389840224656,2.90997621713097,2.9210730320585
2.85105545742288,2.82901616446715,2.58366166494894,2.87767246170457,2.61007747868414,2.98490719426562,2.89423732097559,3.43871172665009,3.40467873723921,2.7189229092853
2.9559239501613,2.87316807337071,3.16238617594448,2.87052576391422,3.14639622275032,3.06351238046898,3.18631809554881,2.969265422311,3.07894546196676,3.20761794759937
2.65300205236289,2.00999242578132,2.77633421014103,2.39341787660639,2.50776217409301,3.05608439041773,2.52320655793902,2.5104695926689,2.67546285837365,2.33574206488382
2.38217228713636,2.9833301377069,2.6409864737789,3.27659101704275,2.83190076564013,2.59536985237948,2.85603728968938,2.69954923504544,3.23611376755117,3.06734821185641
3.01744183810248,3.00294122682824,3.26339914517149,3.85217128302593,3.08834441246427,2.35408493289748,2.98763391182704,2.77606034032493,3.30559248605728,2.64678783761635
2.17339170766374,2.3442611343592,2.47727857447434,2.5836104784331,2.59970828168826,2.51435934625542,2.43428889353213,2.54232280559395,2.40303993161247,2.20922357969559
4.13809832376609,3.07658640559948,2.99724909749112,3.83256065153244,2.78982130659131,3.14263701961098,3.31505190549768,2.85959903488771,3.92145935528797,2.84656197722431
3.07971935699869,3.07385347907178,3.4516525345673,2.97322161192762,2.59230928688434,2.554738917474,1.99259311433908,2.86558200697968,2.60644901154268,2.79327148987433
2.76521440610561,2.60818762365999,2.8800481820643,2.76611847852168,2.61478996982448,2.7378093433852,2.82316481749849,2.64971452905772,2.64606713803302,2.81054372289994
2.67733216463997,2.60402939022165,2.63283506892853,3.38896099772802,2.29100233827337,1.875699212789,2.92244580477942,2.71693346779238,2.5298393653416,2.46275666491072
2.1798453602591,2.13633536209855,2.03437243546199,2.31899821252217,2.41859136280275,1.83026195188313,3.35173714666605,2.9275357234998,2.59239154350544,2.44236563309028
3.33801404822081,3.27905937224053,2.2603693113529,3.84550099310813,2.87276042116758,2.45439459009275,2.43952685615868,3.69420234189203,3.57720840663964,2.53931064137912
2.80944714867928,2.34521346717311,3.00663782666979,2.58492669255282,3.02899713543887,2.79138958385938,3.01323563801254,2.37620071451678,2.28983226758219,3.54799438814511
2.55404197883877,2.74710893672832,2.54643003877634,2.77032889817461,2.77826937040306,2.46203339427776,2.6597389568472,2.8533308095075,2.64409081280739,2.64288248190662
2.3659959026487,2.6742566459901,2.60309341969498,2.54542233967449,2.47097277048777,2.66361432317598,2.60485187860378,2.41989690022378,2.69562256842611,2.4637107061966
3.11860730826334,2.74268242149201,3.10951110418656,3.21253955944434,3.02559208727392,3.01950063792993,3.44065008644804,3.04410490140202,3.29527245152403,3.1541706622328
2.99042516659482,2.89778563992931,2.38304357072808,2.4968587105254,2.87975962670608,2.69613423790174,2.66449972975204,2.62499732923724,2.44263855138099,2.6906936068075
